participant,session,experiment,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,region_count
0,0,3,3,Left,2,0.31980831551414746,0.0038975659358321166,0.1975800093639413,0.006233085147656331,0.913894324853229,0.0515319891857446,0.12285120140419817,14,14
0,0,3,3,Left,all,0.3261812491671449,0.0031917220348754607,0.19796173814215082,0.002825665800174046,0.93596646784007,0.01737769796943144,,0,14
0,0,3,4,Right,0,0.30904514038062864,0.005122697266520707,0.19743271003357354,0.0045859938432153,0.8707165109034268,0.023881040823500232,0.12020833876928932,17,18
0,0,3,4,Right,1,0.35947186636991363,0.0049338678020384875,0.19487209099835023,0.005329226370829339,0.9431372549019608,0.04439296382962401,0.1661708117589545,17,18
0,0,3,4,Right,2,0.32780891484394453,0.007209266035122321,0.20307372103583213,0.0028254277746360664,0.9644850329781836,0.02498835758945489,0.12328051668734788,17,18
0,0,3,4,Right,all,0.3321086405314956,0.0032974969516867646,0.19845950735591866,0.0018315833119008894,0.926112932927857,0.017806492193193576,,0,18
0,0,4,0,Noise,0,0.319840661327769,0.01065076917360609,0.1943687089334616,0.005931905461760263,0.8915614828927523,0.044924214383243795,0.10701466575406418,25,57
0,0,4,0,Noise,1,0.3823536727867979,0.00777882764181514,0.19583098386459033,0.009767694144026846,0.8931544547643618,0.0457226307401796,0.12998331822164055,25,57
0,0,4,0,Noise,2,0.32584778948200127,0.00848001603546313,0.19121248994310333,0.008768379428818645,0.8870661502240449,0.05800635443968699,0.10016784733285979,25,57
0,0,4,0,Noise,all,0.34268070786552274,0.005150191967429406,0.1938040609137184,0.004183876644557386,0.8905940292937198,0.022338843744472606,,0,57
0,0,4,1,Up,0,0.3214696948353542,0.006891153732889773,0.19737464808959015,0.004628426857427341,0.8959276018099548,0.05472432436504889,0.12479722502042723,16,16
0,0,4,1,Up,1,0.38481574324882734,0.0028725246813809725,0.19740181810732546,0.007329809283839587,0.9227941176470589,0.032957317862921984,0.13879096250760103,16,16
0,0,4,1,Up,2,0.3238844277469412,0.004038991357520835,0.19640941742254817,0.008294014967726101,0.890422077922078,0.03607106760278985,0.11579098297359801,16,16
0,0,4,1,Up,all,0.3433899552770409,0.0029761894402506052,0.19706196120648795,0.0023277148964310737,0.9030479324596972,0.016705003335035037,,0,16
0,0,4,2,Down,0,0.3100749698412071,0.007411434487889612,0.19510621370517958,0.0020218745296054644,0.9476809954751131,0.011323523761305167,0.1396554225815993,16,16
