participant,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,session_count,region_count
1,1,Up,1,0.3740170708045676,0.013111387156922965,0.1793126919414445,0.010007721978798923,0.9256298219338714,0.04042953185137427,0.0952875465846702,539,6,547
1,1,Up,2,0.32910315731487233,0.019991850207321867,0.200831690410006,0.010179266418577202,0.951199793064225,0.040081797098734794,0.14103899153627217,539,6,547
1,1,Up,all,0.35123064753000655,0.012677526980371256,0.20593057468766274,0.0053212242947919975,0.9403306118245268,0.024698129417855735,,0,6,547
1,2,Down,0,0.3500291626218368,0.017708858233744806,0.23780453178917907,0.009202429503608292,0.9476630103075311,0.03248099604151344,0.13014114919923314,500,6,504
1,2,Down,1,0.37160390296534795,0.014207000937970622,0.17812995701715473,0.009905675927951902,0.9213712817347433,0.04371610099535109,0.10876726914357097,500,6,504
1,2,Down,2,0.332011922760031,0.019636804147771657,0.20139884150015783,0.009649804742564376,0.9316918171110138,0.047828515695210135,0.1389185397009195,500,6,504
1,2,Down,all,0.3512149961157386,0.01359865469582578,0.20577777676883052,0.004497872081451794,0.9335753697177628,0.02573831386222168,,0,6,504
1,3,Left,0,0.3521850432424795,0.0167482851803629,0.2366934771756812,0.009091481080954228,0.9346251439785884,0.03703414353213976,0.12603890833653486,527,6,533
1,3,Left,1,0.37490639849818963,0.014415598905918056,0.17887409624955705,0.010792285839175122,0.9292866061340779,0.04094796948444346,0.10885511307860621,527,6,533
1,3,Left,2,0.32974225862462736,0.018490343998178893,0.20052015954400643,0.009559474592771037,0.9302560948669788,0.04775359701551335,0.14169114085728235,527,6,533
1,3,Left,all,0.3522779001217655,0.012876187406659826,0.2053625776564149,0.005545804330783964,0.9313892816598817,0.023060486589740973,,0,6,533
1,4,Right,0,0.35032315831992983,0.015947138181172462,0.23606110686988188,0.009392560657628429,0.9248124582612324,0.03659267788242617,0.13227999942498433,515,6,518
1,4,Right,1,0.3750296413606716,0.015322043620787386,0.17887695788891628,0.010565330059001479,0.9115061269108019,0.04082981109065914,0.11340791248321477,515,6,518
1,4,Right,2,0.3264528130987291,0.019080058220113154,0.20017268711888125,0.011394753258295741,0.9126005042517801,0.05244456884193804,0.15024813675404866,515,6,518
1,4,Right,all,0.35060187092644346,0.012373399264395459,0.20503691729255982,0.0059429425713641865,0.9163063631412715,0.024826288956498032,,0,6,518
2,0,Noise,0,0.36276750062099494,0.018331059058016214,0.20170609832700384,0.011622075653334096,0.8820261639770711,0.05149432467145011,0.10170648746836121,937,6,1496
2,0,Noise,1,0.3831014320966337,0.02562330800329417,0.1682547840396058,0.014997932446044897,0.8910949304084905,0.05704433217790972,0.06599110409125489,937,6,1496
2,0,Noise,2,0.34027447162373986,0.036726868468376674,0.20610393364592566,0.008422430380559605,0.8958695172747113,0.04928167289493148,0.08966396670791899,937,6,1496
2,0,Noise,all,0.36204780144712284,0.019071616400928727,0.19202160533751175,0.006238750123257485,0.889663537220091,0.030111128769625708,,0,6,1496
2,1,Up,0,0.3624821039814371,0.016662217733683444,0.2001533771123367,0.009611364383820967,0.9143680836973878,0.045119584452868025,0.09044502668024829,587,6,600
2,1,Up,1,0.3864145845363405,0.022355643854188173,0.17101076408409824,0.0121862223857446,0.9359454867099308,0.04547646247279628,0.08511737370532278,587,6,600
2,1,Up,2,0.3495142664320414,0.035916923619865836,0.20850307827837392,0.006538151658420621,0.9363476122641405,0.03918894048481272,0.10269937510271708,587,6,600
2,1,Up,all,0.366136984983273,0.018904229170793884,0.19322240649160294,0.005196976245144309,0.9288870608904864,0.026303635283936123,,0,6,600
2,2,Down,0,0.3631832683625389,0.016119240779714793,0.2006396146906348,0.010592225566480208,0.906042127834614,0.04696605288668748,0.09511289567635602,514,6,522
2,2,Down,1,0.38352021070316955,0.024382110043838535,0.16978321881931602,0.01399491400799305,0.9140449959980548,0.05005347992483864,0.07700207768042126,514,6,522
2,2,Down,2,0.34653754100418266,0.038625128559868695,0.2068924350023682,0.006029307111222672,0.9477756767017544,0.04108055104070081,0.10352032198109037,514,6,522
2,2,Down,all,0.36441367335663033,0.019601869585610204,0.1924384228374397,0.005410247911795069,0.9226209335114745,0.02883367330300177,,0,6,522
2,3,Left,0,0.36131745684856426,0.017029409798966173,0.20155897019068494,0.009880559627149945,0.8987391689129687,0.04622351728802449,0.0964834569860391,509,6,523
2,3,Left,1,0.38521136129807554,0.023641585541845055,0.1683276949379257,0.0135793255486648,0.9133265965249322,0.051412751767740926,0.0705447474818823,509,6,523
2,3,Left,2,0.34495039302980984,0.03751755929851991,0.20964753771819894,0.006771182396784128,0.9404124471165559,0.04315599902186579,0.10742356863309532,509,6,523
2,3,Left,all,0.3638264037254832,0.019415290418637952,0.19317806761560322,0.005442188066223519,0.9174927375181522,0.03156179765970481,,0,6,523
2,4,Right,0,0.36525866157187903,0.016872940159341033,0.20159062577759923,0.010771636418307346,0.9128294502689437,0.04912732817556747,0.09370472586342776,516,6,526
2,4,Right,1,0.3870128679048342,0.023891831312922638,0.16923171794825714,0.01365481718399392,0.9189310007248593,0.047739365897499976,0.08525342204357035,516,6,526
2,4,Right,2,0.348097912222194,0.03764257585759736,0.20653028439280532,0.007241750676842619,0.9192153039421158,0.04196926461316954,0.10029962316615788,516,6,526
2,4,Right,all,0.3667898138996358,0.018367675870708998,0.19245087603955388,0.005861622737571827,0.9169919183119729,0.024739989021715134,,0,6,526
3,0,Noise,0,0.3054585382323455,0.02237988652683782,0.22014361126038318,0.013611350320007305,0.9016687027162467,0.04874578550521426,0.15196153377760693,1559,6,1761
3,0,Noise,1,0.32826433444934744,0.02675595320907157,0.2166140121788096,0.011809426808937169,0.884358114502745,0.05083765794453519,0.1689053065479731,1559,6,1761
3,0,Noise,2,0.32349480640671413,0.0245950278447455,0.1962027836417696,0.018474144596313007,0.8835103320134793,0.04683911908120996,0.10418878976524218,1559,6,1761
3,0,Noise,all,0.3190725596961356,0.017948544320348384,0.2109868023603208,0.006524526212660682,0.8898457164108237,0.027851103533846636,,0,6,1761
3,1,Up,0,0.30011820053891614,0.02073278817149065,0.22196586025099455,0.011876001530475962,0.9267680185039955,0.044203852350728996,0.15354169890598202,505,6,531
