label,label_name,channel,region_idx,n_samples,mean,std,range,ssim,participant,session,experiment
0,Noise,0,22,44,0.38640734265734267,0.189329601428081,0.9027777777777778,0.09880453595098089,0,0,0
0,Noise,1,22,44,0.4413869463869464,0.19064206139724202,0.9411764705882353,0.11313224756923657,0,0,0
0,Noise,2,22,44,0.40651243733435516,0.19745691402967477,0.9406392694063926,0.10968540171243654,0,0,0
0,Noise,0,23,29,0.38664775518223793,0.18451789875225824,0.9074074074074074,0.06744037405054523,0,0,0
0,Noise,1,23,29,0.44235710199199046,0.19422500314307453,0.9058823529411765,0.15647379761636773,0,0,0
0,Noise,2,23,29,0.40485810835362085,0.2012773884189245,0.9452054794520548,0.12096407599096719,0,0,0
0,Noise,0,24,31,0.3747610513739546,0.19007005687713452,0.9027777777777778,0.0917885136177947,0,0,0
0,Noise,1,24,31,0.44677565318931545,0.18884486263317665,0.9372549019607843,0.14513544438597298,0,0,0
0,Noise,2,24,31,0.4023601527357603,0.1957195020439168,0.9452054794520548,0.14679776263372157,0,0,0
0,Noise,0,25,27,0.3790149836446133,0.19254687509377608,0.9027777777777778,0.09905796367490156,0,0,0
0,Noise,1,25,27,0.450074297525278,0.18811768497727924,0.9254901960784314,0.12130383168551177,0,0,0
0,Noise,2,25,27,0.406136413898971,0.18733723753526402,0.9406392694063926,0.14923996557318114,0,0,0
0,Noise,0,26,32,0.3945078792735043,0.1864059685203777,0.8981481481481481,0.1233596613856109,0,0,0
0,Noise,1,26,32,0.4472615007541479,0.1865191285793185,0.9137254901960784,0.1323690495790751,0,0,0
0,Noise,2,26,32,0.40242799438004917,0.18761420816709884,0.9269406392694064,0.12904992534845666,0,0,0
0,Noise,0,27,29,0.38090185676392574,0.18984229806649391,0.9120370370370371,0.0769593333619463,0,0,0
0,Noise,1,27,29,0.4442065844905601,0.1853650697537728,0.8980392156862745,0.13482983662670006,0,0,0
0,Noise,2,27,29,0.3969925995906156,0.19512258230581422,0.9223744292237442,0.12128300589973263,0,0,0
0,Noise,0,28,32,0.37838764245014245,0.1929061008168347,0.9027777777777778,0.06864203223390088,0,0,0
0,Noise,1,28,32,0.4434973604826546,0.18725660887493048,0.8705882352941177,0.1371254608289495,0,0,0
0,Noise,2,28,32,0.398703679311556,0.19143602498844894,0.9223744292237442,0.09927664568834157,0,0,0
0,Noise,0,29,35,0.3787667887667887,0.18634865427419497,0.9027777777777778,0.11869313078427605,0,0,0
0,Noise,1,29,35,0.45187416505063566,0.18444949228312085,0.9137254901960784,0.15883660673322866,0,0,0
0,Noise,2,29,35,0.39813036278789693,0.19010555746280988,0.9360730593607306,0.12187570212644994,0,0,0
0,Noise,0,30,21,0.3743538868538868,0.1815762121339815,0.8981481481481481,0.08203202807127441,0,0,0
0,Noise,1,30,21,0.450282266752855,0.1829891458270632,0.8784313725490196,0.1752697976657041,0,0,0
0,Noise,2,30,21,0.3920200043487715,0.19097307507709718,0.9497716894977168,0.14194878422672516,0,0,0
0,Noise,0,31,36,0.39267865622032283,0.19517957694084231,0.8981481481481481,0.09541931491207087,0,0,0
0,Noise,1,31,36,0.45462711580358633,0.18389766350019554,0.8901960784313725,0.20844838990864079,0,0,0
0,Noise,2,31,36,0.38343578035358855,0.19053904472472152,0.9497716894977168,0.1391111437481051,0,0,0
0,Noise,0,32,17,0.3905270655270655,0.18349993858948274,0.8981481481481481,,0,0,0
0,Noise,1,32,17,0.4463295182326324,0.18385126640475674,0.8627450980392157,,0,0,0
0,Noise,2,32,17,0.3903469079939668,0.18775421189244035,0.9269406392694064,,0,0,0
0,Noise,0,33,32,0.3885939725783476,0.19917806500853766,0.8935185185185185,0.13500388936091995,0,0,0
0,Noise,1,33,32,0.459185520361991,0.18375169590780663,0.9333333333333332,0.16393862422007252,0,0,0
0,Noise,2,33,32,0.3921825605900948,0.18656759300329118,0.9315068493150684,0.11412619815588647,0,0,0
0,Noise,0,34,39,0.39905489809335964,0.1988427715855292,0.8888888888888888,0.10136542191009246,0,0,0
0,Noise,1,34,39,0.45515566384344663,0.1864791614825055,0.9686274509803922,0.19706733160850518,0,0,0
0,Noise,2,34,39,0.3898606720524529,0.1811548985500943,0.9360730593607306,0.08282318184936384,0,0,0
0,Noise,0,35,28,0.4131194037444037,0.21101639147306026,0.9583333333333334,0.11718837110615127,0,0,0
0,Noise,1,35,28,0.4486565395388925,0.20488314797643206,0.9568627450980393,0.18783013642193777,0,0,0
0,Noise,2,35,28,0.39133925435295297,0.17903504645730361,0.9315068493150684,0.11397361741850832,0,0,0
0,Noise,0,36,24,0.4037971866096866,0.19946373501077533,0.9212962962962963,0.10675050121696393,0,0,0
0,Noise,1,36,24,0.4482667169431875,0.1891688164959341,0.8941176470588236,0.14170854036610284,0,0,0
0,Noise,2,36,24,0.3913007844514694,0.18929785776129718,0.9178082191780822,0.08991133926226437,0,0,0
0,Noise,0,37,29,0.4042992926613616,0.2155807571318815,0.9768518518518519,0.13722127948235507,0,0,0
0,Noise,1,37,29,0.44625578613408223,0.20400782643482912,0.9647058823529412,0.205790415000172,0,0,0
0,Noise,2,37,29,0.38812906507757716,0.1797299170883067,0.908675799086758,0.08275906314934584,0,0,0
0,Noise,0,38,25,0.41083475783475787,0.20638332117477273,0.9722222222222222,0.12226892815447572,0,0,0
0,Noise,1,38,25,0.4438600301659126,0.20200265025734662,0.9725490196078431,0.15002497868379477,0,0,0
0,Noise,2,38,25,0.38870389884088513,0.17681144476169805,0.91324200913242,0.07742022393280072,0,0,0
0,Noise,0,39,43,0.4135128867687007,0.20946214583280087,0.9675925925925926,0.11516118503730473,0,0,0
0,Noise,1,39,43,0.4477140552106353,0.19802514593456372,0.9450980392156862,0.15791209685582752,0,0,0
0,Noise,2,39,43,0.3820749707974939,0.17999553404319124,0.908675799086758,0.10262620236055986,0,0,0
0,Noise,0,40,40,0.3979843304843304,0.1958974494929715,0.9675925925925926,0.09735337037957148,0,0,0
0,Noise,1,40,40,0.4427171945701357,0.1814491407049317,0.8745098039215686,0.12381583144939062,0,0,0
0,Noise,2,40,40,0.38053477344573233,0.1892939268048494,0.91324200913242,0.12624447495115165,0,0,0
0,Noise,0,41,27,0.3864171151208188,0.194625617570259,0.9027777777777778,0.09946890763389261,0,0,0
0,Noise,1,41,27,0.4482565219820122,0.19484198275060802,0.8549019607843137,0.1522489835643945,0,0,0
0,Noise,2,41,27,0.3765262979874852,0.19249119440752843,0.908675799086758,0.14619274832170182,0,0,0
0,Noise,0,42,40,0.39054398148148145,0.19430648603900727,0.8981481481481481,0.12015427592271764,0,0,0
0,Noise,1,42,40,0.4433001508295626,0.19593360433981685,0.8745098039215686,0.1263113569346837,0,0,0
0,Noise,2,42,40,0.3955180892167193,0.19047434366213295,0.91324200913242,0.11588930002531268,0,0,0
0,Noise,0,43,36,0.3927281180753403,0.19134113419268978,0.9027777777777778,0.11363443590545837,0,0,0
0,Noise,1,43,36,0.4524953913189207,0.19536183387265008,0.8901960784313725,0.15617277305384317,0,0,0
0,Noise,2,43,36,0.3959957850368809,0.19127457546630383,0.91324200913242,0.10489937820349654,0,0,0
0,Noise,0,44,33,0.4003906587239921,0.20129770900845348,0.9768518518518519,0.12778071290718793,0,0,0
0,Noise,1,44,33,0.4482188399835459,0.18489670767334335,0.9058823529411765,0.12098167082984027,0,0,0
0,Noise,2,44,33,0.3820821492054368,0.18547602658921578,0.9178082191780822,0.08817978096033939,0,0,0
0,Noise,0,45,36,0.3950389759417537,0.19542796994150058,0.9074074074074074,0.10835692908727564,0,0,0
