participant,session,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,experiment_count,region_count
0,1,4,Right,1,0.3874273614213391,0.021924429789797258,0.1922225568544147,0.005990942110604909,0.9441415590626495,0.03350057565483743,0.16355542875265827,82,5,82
0,1,4,Right,2,0.3502024351311577,0.03106833930836198,0.195725904621008,0.005768055504016498,0.9448903063017721,0.038793452945455754,0.11695765107025483,82,5,82
0,1,4,Right,all,0.35925926209498066,0.023860363764746383,0.19436180308448675,0.004291685219726665,0.9293535038791014,0.018818647367044188,,0,5,82
0,2,0,Noise,0,0.41953666613133805,0.01050791932251217,0.1866835860032966,0.007848335371423622,0.9261153526096059,0.043833947604664636,0.08636370012945305,34,5,176
0,2,0,Noise,1,0.4113334653204557,0.010692127880634733,0.1739863325638799,0.007590128431910385,0.9153743315508021,0.0360989910529404,0.11565580255025966,34,5,176
0,2,0,Noise,2,0.4355841416111479,0.015089775682368942,0.1919915279972143,0.007954755515021398,0.9110383590451289,0.0437053233475421,0.08754752073832545,34,5,176
0,2,0,Noise,all,0.42215142435431385,0.006443427588431864,0.18422048218813025,0.0046030613744920505,0.917509347735179,0.02595296359926822,,0,5,176
0,2,1,Up,0,0.4189119957692145,0.007222940554934178,0.18965668892719934,0.0061587104516119245,0.9461751731078641,0.0321045066032118,0.13998760424302156,92,5,94
0,2,1,Up,1,0.4196025040824154,0.006634702524306257,0.17555324430672284,0.004198387097234266,0.981476846057572,0.01562717366581163,0.11614292991711972,92,5,94
0,2,1,Up,2,0.43749071158092767,0.013821386313172304,0.19289260448937073,0.007040796289738269,0.9311862303229181,0.044096437938788965,0.1109478848551209,92,5,94
0,2,1,Up,all,0.42533507047751923,0.005753784649757435,0.18603417924109764,0.003847059830561261,0.9529460831627847,0.01907537765223313,,0,5,94
0,2,2,Down,0,0.41164096255451127,0.00947390687717906,0.1898111767213277,0.005013542445142198,0.9575825647209544,0.02290577801642527,0.11678247153660312,86,5,87
0,2,2,Down,1,0.4117553278738302,0.008132563796606944,0.1727538530960597,0.005409177759171739,0.9297723687176019,0.026092585250842553,0.13451968003415962,86,5,87
0,2,2,Down,2,0.43513715128450614,0.012711446874187874,0.1916418542487848,0.0062233394891249875,0.91865882373955,0.03460832154213511,0.12453781810004709,86,5,87
0,2,2,Down,all,0.41951114723761584,0.004686189903482246,0.18473562802205737,0.004213965675290431,0.9353379190593688,0.01841242678891657,,0,5,87
0,2,3,Left,0,0.42201411355110097,0.0077719487938442255,0.18794448994969856,0.006052488320821228,0.938771643262195,0.025510289328357104,0.12593249940468546,93,5,93
0,2,3,Left,1,0.41117646193257384,0.009880908228980552,0.17125167866986235,0.005797281466503986,0.9246468479865063,0.02679679312432154,0.14344703467054204,93,5,93
0,2,3,Left,2,0.43499106534099635,0.015109489384206505,0.1913136169188704,0.006315749503212987,0.9193882213268008,0.03845597405191933,0.11963542696173739,93,5,93
0,2,3,Left,all,0.4227272136082238,0.004669622715903579,0.1835032618461438,0.003946466945959323,0.9276022375251675,0.01821819793370857,,0,5,93
0,2,4,Right,0,0.4185700290781646,0.006125294541036074,0.1878371734702418,0.006898269860217509,0.964770837226031,0.027033716840160354,0.1470509508718526,97,5,97
0,2,4,Right,1,0.41398327992811007,0.010764656531059425,0.1757096546952686,0.005307940642169666,0.9346270466949667,0.026004869770664654,0.1369765353055529,97,5,97
0,2,4,Right,2,0.4395342853389235,0.015124559900392246,0.1917082836155473,0.007366889858119106,0.9248157216910388,0.04598863852619278,0.10874757978185683,97,5,97
0,2,4,Right,all,0.4240291981150661,0.005075497479220867,0.18508503726035258,0.004086724795368125,0.9414045352040121,0.02112186190859324,,0,5,97
0,3,0,Noise,0,0.4315730931165932,0.022328379810696703,0.17156696233894292,0.01343503423202336,0.8734922522780404,0.047576361093475926,0.0766339753313272,85,5,251
0,3,0,Noise,1,0.4184094921960258,0.018239144160115687,0.1678342338858831,0.008106300822933822,0.9096789313334895,0.04718267689844494,0.09451741078341487,85,5,251
0,3,0,Noise,2,0.42974043094952297,0.012399677128883225,0.18797217725951038,0.0072920009215112986,0.9178829686937475,0.0397726388607574,0.09798523848297008,85,5,251
0,3,0,Noise,all,0.4265743387540473,0.009813891688344935,0.1757911244947788,0.005942673832767826,0.9003513841017592,0.022491681272209334,,0,5,251
0,3,1,Up,0,0.4390873543303367,0.02057047986114169,0.1742017714674838,0.012703153648000336,0.9080269183429345,0.04588314513520194,0.11479668814128943,95,5,95
0,3,1,Up,1,0.42555682332188216,0.01613383755989894,0.17364852805414963,0.0047520801898437584,0.9595459236326109,0.02640143415311434,0.09817231926531896,95,5,95
0,3,1,Up,2,0.4351130385059287,0.008976144281057353,0.18685211993932968,0.005696054343429622,0.9451260942272084,0.033371618495681106,0.11134669159994055,95,5,95
0,3,1,Up,all,0.4332524053860492,0.010759257011337451,0.17823413982032105,0.004835566174573963,0.9375663120675847,0.019285239444625346,,0,5,95
0,3,2,Down,0,0.435588538151838,0.024206823124090417,0.17997471078440377,0.010689442370856731,0.9152137154097464,0.04512212936326913,0.11267400585112494,92,5,92
0,3,2,Down,1,0.42485867822983814,0.017828476865246183,0.16872314300972863,0.005928636493912328,0.9343137254901961,0.04343446223207881,0.12757034996365227,92,5,92
0,3,2,Down,2,0.43146688153043555,0.011279448521460261,0.1877425302271841,0.005520928547414467,0.9287559140697781,0.03365902405305261,0.11425617089582714,92,5,92
0,3,2,Down,all,0.4306380326373706,0.012259278322900172,0.17881346134043882,0.0043471651497082155,0.9260944516565736,0.018785415958448085,,0,5,92
0,3,3,Left,0,0.44082811212326356,0.0227449605895807,0.17629595901868675,0.010033498559976017,0.9334214683443459,0.043682966852387504,0.10930524929648062,96,5,101
0,3,3,Left,1,0.42512034278285527,0.01585979884811822,0.16543948271758574,0.005891920921241621,0.9226169675791109,0.03451823020616209,0.1091991275592048,96,5,101
0,3,3,Left,2,0.4308553408697252,0.010605781026901705,0.18794001908308053,0.005238537425218074,0.9335232523969224,0.03630206468045212,0.11571083883392826,96,5,101
0,3,3,Left,all,0.43226793192528135,0.011545661237781413,0.17655848693978432,0.004802964924412293,0.929853896106793,0.02153539322651037,,0,5,101
0,3,4,Right,0,0.4356948689295049,0.019205207770913574,0.17155774631274714,0.011863206433853883,0.8981583448164957,0.0457303952795976,0.12126489348964467,94,5,97
0,3,4,Right,1,0.41955797690800084,0.01790945918498601,0.1709877693961848,0.006774684027569084,0.9412573276733374,0.035704671788777356,0.12505588854168143,94,5,97
0,3,4,Right,2,0.4349331220921418,0.011399400164826188,0.18885880601604857,0.0061868285759158655,0.9416519442421722,0.03169698985487492,0.12514669819062024,94,5,97
0,3,4,Right,all,0.4300619893098825,0.01079728179339823,0.17713477390832683,0.005292275380849016,0.9270225389106683,0.017338451924612586,,0,5,97
0,4,0,Noise,0,0.4007796664647727,0.016267231346987855,0.1632664215057528,0.008194777053148035,0.9217668537510796,0.05039189629973196,0.09196500360857213,30,5,146
